time,Wind_DE,PV_DE,Wind_SE,PV_SE,Wind_DK,PV_DK,Load_DE,Load_DK,Load_SE,Hydro_inflow
110,0.4391,0.010272727272727,0.3596,0,0.0966,0.012,75296,5150.561,24399.7,11079.3691666667
111,0.426,9.09090909090909E-05,0.3372,0,0.1091,0,76501.1,5576.87,25113.4,11079.3691666667
112,0.4208,0,0.2978,0,0.1053,0,80073.5,6147.154,25515.1,11079.3691666667
113,0.4055,0,0.26,0,0.0883,0,79862.9,6029.582,25312.3,11079.3691666667
114,0.3817,0,0.2263,0,0.0641,0,77728.3,5588.31,24537.5,11079.3691666667
115,0.3623,0,0.1865,0,0.0418,0,72885.8,5237.973,23747.1,11079.3691666667
116,0.3426,0,0.1497,0,0.0279,0,69582.5,4963.608,22891.7,11079.3691666667
117,0.3221,0,0.1333,0,0.0192,0,68042,4644.172,22188.4,11079.3691666667
118,0.3033,0,0.126,0,0.0135,0,63313.9,4417.972,21382.4,11079.3691666667
119,0.2833,0,0.1212,0,0.01,0,59267,4202.445,20885.8,11079.3691666667
120,0.2592,0,0.12,0,0.0067,0,56595.5,4042.883,20460.7,11180.251875
121,0.2326,0,0.121,0,0.0043,0,54835.3,3959.111,20155.2,11180.251875
122,0.208,0,0.1206,0,0.0031,0,54575.3,3933.085,19956.3,11180.251875
123,0.1883,0,0.1215,0,0.0026,0,54473.9,3964.506,19853.6,11180.251875
124,0.1672,0,0.1335,0,0.0036,0,53690,4029.298,19806.8,11180.251875
125,0.1523,0,0.1722,0,0.0056,0,53192.1,4156.724,20287.8,11180.251875
126,0.1418,0,0.2346,0,0.0083,0,54652,4471.103,21112,11180.251875
127,0.1365,0.004,0.2937,0,0.0129,0,58484.4,4835.597,21914.1,11180.251875
128,0.1268,0.041,0.3503,0.005,0.0201,0.005,63455.6,5156.19,22947.6,11180.251875
129,0.1089,0.085272727272727,0.3963,0.021,0.026,0.019,67512.9,5353.894,23610.6,11180.251875
130,0.0937,0.114,0.4368,0.037,0.0306,0.037,70846.1,5396.924,24003.2,11180.251875
131,0.0898,0.112454545454545,0.511,0.038,0.039,0.044,71542.9,5300.75,23922.6,11180.251875
132,0.0964,0.087818181818182,0.5732,0.024,0.0539,0.037,69774.9,5278.39,23946,11180.251875
133,0.105,0.051181818181818,0.6235,0.006,0.0693,0.017,69184.7,5286.58,23650.9,11180.251875
134,0.1065,0.015272727272727,0.6794,0,0.095,0.001,67912,5360.004,24070.8,11180.251875
135,0.108,9.09090909090909E-05,0.7311,0,0.1218,0,69859.4,5744.518,25142,11180.251875
136,0.1082,0,0.7749,0,0.1259,0,74361.3,6286.228,25490.4,11180.251875
137,0.1018,0,0.8156,0,0.1159,0,75539.1,6144.242,25077,11180.251875
138,0.1028,0,0.841,0,0.1135,0,73661.9,5675.189,24326.9,11180.251875
139,0.1142,0,0.8558,0,0.1234,0,70682.3,5225.389,23888.8,11180.251875
140,0.1205,0,0.8641,0,0.1403,0,68175.9,4972.149,22946.3,11180.251875
141,0.1231,0,0.875,0,0.147,0,67923.7,4619.81,22031.1,11180.251875
142,0.1294,0,0.8836,0,0.1412,0,64346.1,4252.742,20865,11180.251875
143,0.1347,0,0.8823,0,0.126,0,60138,4055.506,20238.4,11180.251875
144,0.1253,0,0.8879,0,0.1211,0,57595.2,3966.742,20172.1,11274.274375
145,0.1126,0,0.8972,0,0.1205,0,56798.3,3908.216,20112.3,11274.274375
146,0.1044,0,0.9101,0,0.1263,0,57573.1,3939.338,20091.5,11274.274375
147,0.1004,0,0.9257,0,0.1243,0,60060,4028.752,20371,11274.274375
148,0.0906,0,0.9297,0,0.1346,0,65843.7,4365.309,21747.7,11274.274375
149,0.0833,0,0.9303,0,0.1476,0,77404.6,5179.525,24523.2,11274.274375
150,0.0779,0,0.9306,0,0.1591,0,86139.3,6171.737,26104,11274.274375
151,0.087,0.003727272727273,0.9358,0,0.1731,0,89648,6442.085,27003.6,11274.274375
152,0.1222,0.045181818181818,0.9351,0.005,0.1811,0.008,90021.1,6417.476,27267.5,11274.274375
153,0.1867,0.100454545454545,0.9318,0.018,0.1863,0.035,91609.7,6397.872,27492.4,11274.274375
154,0.2779,0.144272727272727,0.9305,0.027,0.187,0.063,92768,6311.318,27368.9,11274.274375
155,0.3734,0.158909090909091,0.9294,0.023,0.2053,0.06,92119.3,6369.727,27483.3,11274.274375
156,0.4281,0.139181818181818,0.9309,0.011,0.2381,0.038,92075.1,6433.154,27166.1,11274.274375
157,0.4766,0.099454545454546,0.9283,0.002,0.2955,0.013,91458.9,6371.365,27262.3,11274.274375
158,0.5133,0.044636363636364,0.923,0,0.4149,0,90711.4,6255.626,27753.7,11274.274375
159,0.5657,0.001090909090909,0.9272,0,0.5264,0,91756.6,6514.911,28142.4,11274.274375
160,0.6075,0,0.9268,0,0.6172,0,94877.9,6946.537,28076.1,11274.274375
161,0.6544,0,0.9317,0,0.6728,0,93952.3,6686.173,27302.6,11274.274375
162,0.7309,0,0.924,0,0.7314,0,90773.8,6236.113,26477.1,11274.274375
163,0.8118,0,0.9233,0,0.763,0,86804.9,5838.95,25547.6,11274.274375
164,0.8589,0,0.923,0,0.7833,0,83057,5514.951,24512.8,11274.274375
165,0.9033,0,0.9188,0,0.7847,0,79461.2,5074.784,23237.5,11274.274375
166,0.8987,0,0.9154,0,0.7503,0,74677.2,4592.731,21996,11274.274375
167,0.8742,0,0.9175,0,0.6967,0,69881.5,4505.319,21217.3,11274.274375
168,0.8496,0,0.9095,0,0.6656,0,67327,4370.678,20532.2,10814.61875
169,0.8534,0,0.898,0,0.5894,0,66582.1,4161.95,20211.1,10814.61875
170,0.8509,0,0.8903,0,0.5957,0,67329.6,4193.228,20164.3,10814.61875
171,0.8442,0,0.8855,0,0.6936,0,69527.9,4278.729,20666.1,10814.61875
172,0.8443,0,0.881,0,0.7618,0,73495.5,4630.262,21586.5,10814.61875
173,0.868,0,0.8899,0,0.7281,0,83441.8,5380.726,24164.4,10814.61875
174,0.8431,0,0.9131,0,0.6704,0,91503.1,6219.629,26445.9,10814.61875
175,0.8305,0.002,0.9219,0,0.6438,0,94786.9,6531.889,26781.3,10814.61875
176,0.7774,0.024727272727273,0.9194,0.001,0.5824,0.02,95201.6,6510.374,26725.4,10814.61875
177,0.68,0.048909090909091,0.9123,0.009,0.6185,0.075,95699.5,6542.705,26941.2,10814.61875
178,0.6314,0.069363636363636,0.9057,0.016,0.6916,0.124,96154.5,6511.076,26835.9,10814.61875
179,0.652,0.082727272727273,0.9045,0.015,0.7403,0.134,96280.6,6454.656,26505.7,10814.61875
180,0.6993,0.077545454545455,0.9024,0.008,0.7895,0.092,95706,6509.529,26760.5,10814.61875
181,0.7527,0.052,0.8995,0.001,0.8415,0.04,94373.5,6529.237,27250.6,10814.61875
182,0.7887,0.017090909090909,0.8902,0,0.8709,0.004,94156.4,6401.681,27671.8,10814.61875
183,0.7978,0,0.8959,0,0.8798,0,95342,6565.481,28232.1,10814.61875
184,0.7934,0,0.8944,0,0.8769,0,97572.8,7045.987,28290.6,10814.61875
185,0.7729,0,0.8571,0,0.8781,0,96924.1,6754.995,27591.2,10814.61875
186,0.7706,0,0.8397,0,0.8855,0,94762.2,6425.874,26973.7,10814.61875
187,0.7946,0,0.8419,0,0.8875,0,90157.6,5959.512,26318.5,10814.61875
188,0.824,0,0.8425,0,0.8833,0,85359.3,5643.781,25231.7,10814.61875
189,0.8451,0,0.8391,0,0.8845,0,80954.9,5268.198,24213.8,10814.61875
190,0.8573,0,0.8193,0,0.8905,0,76586.9,4867.564,22670.7,10814.61875
191,0.8632,0,0.7696,0,0.8934,0,70922.8,4756.596,21836.1,10814.61875
192,0.8621,0,0.6851,0,0.8971,0,69048.2,4587.739,21569.6,10082.00375
193,0.8549,0,0.6078,0,0.8976,0,68131.7,4500.912,21453.9,10082.00375
194,0.84,0,0.5389,0,0.8965,0,68965,4504.968,21356.4,10082.00375
195,0.8241,0,0.4762,0,0.8893,0,70905.9,4497.844,21875.1,10082.00375
196,0.8122,0,0.4281,0,0.88,0,74665.5,4907.292,22942.4,10082.00375
197,0.8017,0,0.3822,0,0.8721,0,83768.1,5615.324,25433.2,10082.00375
198,0.7937,0,0.3635,0,0.8657,0,91768.3,6449.144,27683.5,10082.00375
199,0.7921,0.001272727272727,0.8406,0,0.8567,0,95196.4,6747.793,28399.8,10082.00375
200,0.7813,0.027636363636364,0.0175,0.023,0.8442,0.101,95495.4,6712.394,28119,10082.00375
201,0.7618,0.062454545454546,0.0245,0.082,0.8325,0.238,97145.1,6709.586,28255.5,10082.00375
202,0.7378,0.089818181818182,0.0285,0.127,0.8227,0.313,98651.8,6644.794,28269.8,10082.00375
203,0.7099,0.097636363636364,0.0293,0.126,0.8035,0.323,97321.9,6571.825,27982.5,10082.00375
204,0.6918,0.080363636363636,0.0302,0.083,0.7804,0.265,97467.5,6585.813,27782.3,10082.00375
205,0.6762,0.047727272727273,0.0322,0.028,0.7418,0.157,96644.6,6463.197,28217.8,10082.00375
206,0.6342,0.015909090909091,0.0432,0.001,0.6899,0.033,95443.4,6332.911,28857.4,10082.00375
207,0.6018,0.000181818181818,0.0649,0,0.6451,0,95564.3,6563.921,29564.6,10082.00375
208,0.5826,0,0.1055,0,0.5953,0,98394.4,7053.137,29784.3,10082.00375
209,0.549,0,0.1482,0,0.5278,0,97269.9,6789.029,29234.4,10082.00375
210,0.4975,0,0.171,0,0.4641,0,94966.3,6374.537,28683.2,10082.00375
211,0.4336,0,0.1826,0,0.3949,0,89044.8,5950.178,27898,10082.00375
212,0.3872,0,0.1915,0,0.3199,0,84463.6,5601.336,26937.3,10082.00375
213,0.316,0,0.1832,0,0.2636,0,80990,5102.071,25681.5,10082.00375
214,0.2548,0,0.1673,0,0.2088,0,74635.6,4748.38,24386.7,10082.00375
215,0.212,0,0.1625,0,0.1568,0,71255.6,4561.57,23394.8,10082.00375
216,0.1709,0,0.1613,0,0.1221,0,68429.4,4423.588,23056.8,9456.56833333333
217,0.1469,0,0.1667,0,0.1037,0,67172.3,4391.114,23046.4,9456.56833333333
218,0.1201,0,0.1758,0,0.0863,0,67163.2,4401.41,23084.1,9456.56833333333
219,0.1001,0,0.1829,0,0.0798,0,68335.8,4529.98,23591.1,9456.56833333333
220,0.0791,0,0.1828,0,0.0762,0,71975.8,4836.13,24541.4,9456.56833333333
221,0.0643,0,0.1532,0,0.0739,0,81151.2,5628.584,27163.5,9456.56833333333
222,0.0518,0,0.1267,0,0.0668,0,88569,6491.199,29123.9,9456.56833333333
223,0.0383,0.005363636363636,0.1021,0,0.0553,0,92210.3,6788.132,29409.9,9456.56833333333
224,0.0301,0.054909090909091,0.0714,0.005,0.0507,0.011,91982.8,6764.147,29203.2,9456.56833333333
225,0.0249,0.112363636363636,0.0548,0.02,0.0463,0.041,93367.3,6821.191,28982.2,9456.56833333333
226,0.0241,0.146090909090909,0.0406,0.033,0.0442,0.063,93971.8,6786.676,28949.7,9456.56833333333
227,0.0303,0.153636363636364,0.0293,0.036,0.05,0.067,93654.6,6649.175,28635.1,9456.56833333333
228,0.0432,0.147909090909091,0.021,0.026,0.0588,0.046,93038.4,6679.088,28306.2,9456.56833333333
229,0.0571,0.112181818181818,0.0151,0.008,0.0702,0.019,91564.2,6592.118,28407.6,9456.56833333333
230,0.068,0.044454545454546,0.0143,0,0.0879,0.001,90993.5,6507.15,29004.3,9456.56833333333
231,0.0807,0.000818181818182,0.0147,0,0.1133,0,91053.3,6781.437,29227.9,9456.56833333333
232,0.1024,0,0.0146,0,0.1347,0,93744.3,7186.322,28978.3,9456.56833333333
233,0.1201,0,0.015,0,0.162,0,92848.6,6881.784,28457,9456.56833333333
234,0.1311,0,0.0141,0,0.2123,0,91143,6412.068,28005.9,9456.56833333333
235,0.1388,0,0.011,0,0.2596,0,86855.6,5961.553,26941.2,9456.56833333333
236,0.1575,0,0.0074,0,0.2942,0,82345.9,5576.246,25909,9456.56833333333
237,0.1843,0,0.0053,0,0.3361,0,80035.8,5097.092,24195.6,9456.56833333333
238,0.2074,0,0.0058,0,0.3937,0,75284.3,4669.002,22929.4,9456.56833333333
239,0.2536,0,0.008,0,0.4404,0,72501,4457.349,21829.6,9456.56833333333
240,0.304,0,0.0099,0,0.4709,0,69678.7,4355.572,21437,8813.73458333333
241,0.3654,0,0.0115,0,0.4913,0,68792.1,4291.183,21405.8,8813.73458333333
242,0.4336,0,0.0161,0,0.5113,0,69141.8,4293.874,21534.5,8813.73458333333
243,0.4973,0,0.0241,0,0.5304,0,70356,4389.398,21747.7,8813.73458333333
244,0.509,0,0.0318,0,0.5588,0,73810.1,4623.853,22738.3,8813.73458333333
245,0.4995,0,0.0393,0,0.5682,0,84085.3,5468.632,25040.6,8813.73458333333
246,0.4997,0,0.048,0,0.6,0,92361.1,6282.38,27177.8,8813.73458333333
247,0.5004,0.011545454545455,0.062,0,0.5966,0,96002.4,6610.084,27792.7,8813.73458333333
248,0.5176,0.06,0.0825,0.009,0.6162,0.022,96569.2,6483.321,27736.8,8813.73458333333
249,0.5489,0.114636363636364,0.1124,0.045,0.6599,0.079,97503.9,6485.986,27760.2,8813.73458333333
250,0.5883,0.145454545454546,0.1275,0.083,0.6713,0.147,98481.5,6405.906,27491.1,8813.73458333333
251,0.5988,0.137818181818182,0.1423,0.094,0.6751,0.184,97853.6,6208.228,26965.9,8813.73458333333
252,0.5917,0.101727272727273,0.1495,0.065,0.6709,0.197,96172.7,5990.01,26612.3,8813.73458333333
253,0.6072,0.057,0.1452,0.021,0.6612,0.125,93397.2,5818.072,26488.8,8813.73458333333
254,0.5936,0.017909090909091,0.1354,0,0.6361,0.026,92290.9,5851.963,26873.6,8813.73458333333
255,0.5626,0.000181818181818,0.143,0,0.6001,0,92396.2,6173.31,27446.9,8813.73458333333
256,0.5199,0,0.1435,0,0.5244,0,95446,6651.281,27761.5,8813.73458333333
257,0.4848,0,0.1426,0,0.4373,0,94363.1,6429.787,27167.4,8813.73458333333
258,0.4347,0,0.1386,0,0.3615,0,92526.2,5960.357,26462.8,8813.73458333333
259,0.3954,0,0.1221,0,0.313,0,86578.7,5533.164,25411.1,8813.73458333333
260,0.3538,0,0.1008,0,0.2787,0,82050.8,5166.655,24573.9,8813.73458333333
261,0.3161,0,0.087,0,0.2549,0,78820.3,4865.133,23535.2,8813.73458333333
262,0.2875,0,0.078,0,0.2355,0,74265.1,4539.392,22521.2,8813.73458333333
263,0.267,0,0.074,0,0.2184,0,69716.4,4332.003,21821.8,8813.73458333333
264,0.2727,0,0.0794,0,0.2156,0,66547,4156.126,21544.9,8673.44020833333
265,0.2897,0,0.0849,0,0.2381,0,64526.8,4067.635,21288.8,8673.44020833333
266,0.3026,0,0.0904,0,0.2767,0,62973.3,4059.692,21022.3,8673.44020833333
267,0.3337,0,0.1029,0,0.308,0,62367.5,4048.902,21023.6,8673.44020833333
268,0.383,0,0.1179,0,0.3059,0,62708.1,4119.245,21547.5,8673.44020833333
269,0.4267,0,0.1383,0,0.3098,0,64161.5,4341.584,22165,8673.44020833333
270,0.4739,0,0.1562,0,0.3153,0,68010.8,4743.947,23299.9,8673.44020833333
271,0.5353,0.003090909090909,0.1604,0,0.3524,0,73099,5153.525,24533.6,8673.44020833333
272,0.5798,0.031272727272727,0.1592,0.015,0.381,0.004,76970.4,5355.987,25333.1,8673.44020833333
273,0.5955,0.064090909090909,0.1603,0.042,0.4232,0.011,80225.6,5565.534,25568.4,8673.44020833333
274,0.5962,0.092727272727273,0.1694,0.053,0.4839,0.02,82559.1,5641.454,25586.6,8673.44020833333
275,0.6079,0.111636363636364,0.1797,0.042,0.5481,0.03,82423.9,5645.016,25225.2,8673.44020833333
276,0.6415,0.108545454545455,0.2021,0.02,0.5892,0.032,80510.3,5558.202,25325.3,8673.44020833333
277,0.6535,0.075181818181818,0.2419,0.003,0.5791,0.015,79066,5546.372,25381.2,8673.44020833333
278,0.6769,0.029,0.2909,0,0.5528,0.001,78369.2,5564.273,25807.6,8673.44020833333
279,0.7283,0.000545454545455,0.3278,0,0.5441,0,79960.4,5851.417,26868.4,8673.44020833333
280,0.7504,0,0.36,0,0.5388,0,83463.9,6326.216,27112.8,8673.44020833333
281,0.746,0,0.3863,0,0.5111,0,83414.5,6066.281,26443.3,8673.44020833333
282,0.6983,0,0.4157,0,0.4641,0,80574,5624.957,25539.8,8673.44020833333
283,0.6322,0,0.4707,0,0.3983,0,75771.8,5277.74,24690.9,8673.44020833333
284,0.5669,0,0.5268,0,0.3543,0,72016.1,4966.182,24051.3,8673.44020833333
285,0.4845,0,0.5569,0,0.3511,0,70718.7,4774.159,23329.8,8673.44020833333
286,0.44,0,0.5593,0,0.3512,0,67486.9,4482.27,22488.7,8673.44020833333
287,0.4053,0,0.564,0,0.3866,0,63087.7,4227.236,21482.5,8673.44020833333
288,0.3836,0,0.5617,0,0.4019,0,60058.7,4012.554,21403.2,9272.43416666667
289,0.4096,0,0.5695,0,0.4149,0,58524.7,3932.279,21113.3,9272.43416666667
290,0.4554,0,0.571,0,0.4323,0,58150.3,3911.973,21164,9272.43416666667
291,0.483,0,0.5738,0,0.4501,0,58013.8,3951.623,21044.4,9272.43416666667
292,0.5174,0,0.5813,0,0.4622,0,56976.4,4099.498,21161.4,9272.43416666667
293,0.5657,0,0.6281,0,0.4885,0,56009.2,4154.865,21772.4,9272.43416666667
